State,FiveThirtyEight,SilverBulletin,DataDiary,PEC
District of Columbia,100.0,100.0,100.0,99.0
Massachusetts,99.99,99.75749850273132,100.0,100.0
Vermont,99.99,99.81250166893005,100.0,100.0
California,99.98,99.8199999332428,100.0,100.0
Hawaii,99.98,97.00499773025513,100.0,100.0
Maryland,99.98,99.93500113487244,100.0,100.0
ME-1,99.94,99.52499866485596,100.0,100.0
Washington,99.82,99.69499707221985,99.99,98.0
Connecticut,99.77000000000001,99.69249963760376,99.83,98.0
New York,99.76,99.40500259399414,99.97,99.0
Rhode Island,99.75,99.04749989509583,99.96000000000001,97.0
Delaware,99.59,99.93249773979187,99.83999999999999,100.0
Illinois,99.46000000000001,99.88499879837036,97.61000000000001,99.0
New Jersey,99.2,98.7874984741211,99.72000000000001,96.0
Oregon,99.02,97.28749990463257,96.22,84.0
Colorado,98.22999999999999,97.75500297546387,97.41,96.0
Maine,94.67999999999999,90.34749865531921,96.30000000000003,85.0
New Mexico,91.97999999999999,92.43500232696533,92.24000000000002,78.0
NE-2,90.62,92.10249781608582,91.49000000000002,65.0
Virginia,90.58,95.517498254776,91.62000000000002,85.0
Minnesota,87.99,89.19000029563904,87.26000000000002,76.0
New Hampshire,84.86,83.11499953269958,89.61999999999998,74.0
Michigan,58.099999999999994,62.704998254776,54.519999999999946,50.0
Wisconsin,57.26,60.2150022983551,52.610000000000035,51.0
Nevada,48.41,62.082499265670776,45.84000000000001,50.0
Pennsylvania,48.02,57.625001668930054,43.77000000000003,50.0
North Carolina,38.99,39.53000009059906,30.729999999999986,43.0
Georgia,38.06,39.46250081062317,29.389999999999954,42.0
Arizona,31.03,34.70749855041504,27.67999999999997,40.0
Florida,9.98,19.842499494552612,6.5900000000000345,25.0
ME-2,9.43,25.11250078678131,9.849999999999985,12.0
Texas,6.47,8.627499639987946,4.249999999999988,15.0
Iowa,6.25,12.939999997615814,10.139999999999985,20.0
Ohio,4.44,3.4600000828504562,1.5900000000000025,17.0
Alaska,2.79,23.38249981403351,1.7700000000000005,15.0
South Carolina,1.04,2.6724999770522118,0.44999999999999035,4.0
Missouri,0.5700000000000001,0.49000000581145287,0.11999999999999708,3.0
Indiana,0.29,0.3700000001117587,0.0,2.0
Kansas,0.27999999999999997,0.419999985024333,5.0600000000000325,26.0
NE-1,0.27999999999999997,0.27749999426305294,2.5600000000000094,10.0
Mississippi,0.16999999999999998,5.437500029802322,2.469999999999994,2.0
Montana,0.16999999999999998,2.6225000619888306,0.0,1.0
Nebraska,0.15,0.3800000064074993,0.02000000000000155,1.0
Louisiana,0.12,1.1149999685585499,0.6900000000000073,1.0
Utah,0.08,0.9624999947845936,0.0,0.0
Alabama,0.06999999999999999,0.4474999848753214,0.1399999999999997,0.0
Tennessee,0.06,0.19249999895691872,0.010000000000000776,0.0
Kentucky,0.03,0.2749999985098839,0.10000000000000143,0.0
Arkansas,0.02,0.8100000210106373,0.14999999999999844,2.0
South Dakota,0.02,1.0200000368058681,0.0,0.0
Idaho,0.01,0.2675000112503767,0.31999999999999934,0.0
North Dakota,0.01,1.4825000427663326,0.02000000000000155,10.0
Oklahoma,0.01,0.27000000700354576,0.14999999999999858,0.0
West Virginia,0.01,0.5049999803304672,0.0,0.0
Wyoming,0.0,0.15750000020489097,0.0,0.0
NE-3,0.0,0.10999999940395355,0.0,0.0
